"","state","cases","deaths","date","full","lat","long"
"268","AK","525.0","0.0",2020-11-06,"Alaska","64.0685","-152.2782"
"269","AK","697.0","0.0",2020-12-02,"Alaska","64.0685","-152.2782"
"270","AK","52.0","0.0",2020-08-07,"Alaska","64.0685","-152.2782"
"271","AK","5.0","0.0",2020-05-29,"Alaska","64.0685","-152.2782"
"272","AK","62.0","0.0",2020-07-11,"Alaska","64.0685","-152.2782"
"273","AK","0.0","0.0",2020-04-30,"Alaska","64.0685","-152.2782"
"274","AK","326.0","3.0",2021-01-07,"Alaska","64.0685","-152.2782"
"275","AK","0","0",2020-01-22,"Alaska","64.0685","-152.2782"
"276","AK","18.0","1.0",2020-07-07,"Alaska","64.0685","-152.2782"
"277","AK","232.0","0.0",2020-10-22,"Alaska","64.0685","-152.2782"
"278","AK","89.0","1.0",2020-07-25,"Alaska","64.0685","-152.2782"
"279","AK","0.0","0.0",2020-02-26,"Alaska","64.0685","-152.2782"
"280","AK","562.0","0.0",2020-12-08,"Alaska","64.0685","-152.2782"
"281","AK","109.0","1.0",2020-09-18,"Alaska","64.0685","-152.2782"
"282","AK","523.0","0.0",2020-10-25,"Alaska","64.0685","-152.2782"
"283","AK","79.0","0.0",2020-07-19,"Alaska","64.0685","-152.2782"
"284","AK","0.0","0.0",2020-02-27,"Alaska","64.0685","-152.2782"
"285","AK","4.0","0.0",2020-05-16,"Alaska","64.0685","-152.2782"
"286","AK","8.0","0.0",2020-03-22,"Alaska","64.0685","-152.2782"
"287","AK","182.0","0.0",2021-01-16,"Alaska","64.0685","-152.2782"
"288","AK","7.0","0.0",2020-04-16,"Alaska","64.0685","-152.2782"
"289","AK","361.0","1.0",2020-12-26,"Alaska","64.0685","-152.2782"
"290","AK","127.0","1.0",2020-10-08,"Alaska","64.0685","-152.2782"
"291","AK","308.0","0.0",2020-11-05,"Alaska","64.0685","-152.2782"
"292","AK","70.0","0.0",2021-02-01,"Alaska","64.0685","-152.2782"
"293","AK","0.0","0.0",2020-02-08,"Alaska","64.0685","-152.2782"
"294","AK","348.0","0.0",2020-10-26,"Alaska","64.0685","-152.2782"
"295","AK","348.0","1.0",2020-11-01,"Alaska","64.0685","-152.2782"
"296","AK","0.0","0.0",2020-01-31,"Alaska","64.0685","-152.2782"
"297","AK","0.0","0.0",2020-03-15,"Alaska","64.0685","-152.2782"
"298","AK","0.0","0.0",2020-02-14,"Alaska","64.0685","-152.2782"
"299","AK","202.0","0.0",2020-10-19,"Alaska","64.0685","-152.2782"
"300","AK","35.0","2.0",2020-09-01,"Alaska","64.0685","-152.2782"
"301","AK","0.0","0.0",2020-02-10,"Alaska","64.0685","-152.2782"
"302","AK","20.0","0.0",2020-06-17,"Alaska","64.0685","-152.2782"
"303","AK","14.0","2.0",2020-04-04,"Alaska","64.0685","-152.2782"
"304","AK","0.0","0.0",2020-03-03,"Alaska","64.0685","-152.2782"
"305","AK","5.0","0.0",2020-04-13,"Alaska","64.0685","-152.2782"
"306","AK","0.0","0.0",2020-02-20,"Alaska","64.0685","-152.2782"
"307","AK","0.0","0.0",2020-01-25,"Alaska","64.0685","-152.2782"
"308","AK","35.0","0.0",2020-09-08,"Alaska","64.0685","-152.2782"
"309","AK","6.0","1.0",2020-03-24,"Alaska","64.0685","-152.2782"
"310","AK","102.0","1.0",2020-09-03,"Alaska","64.0685","-152.2782"
"311","AK","124.0","1.0",2020-10-01,"Alaska","64.0685","-152.2782"
"312","AK","1.0","0.0",2020-05-15,"Alaska","64.0685","-152.2782"
"313","AK","5.0","0.0",2020-04-18,"Alaska","64.0685","-152.2782"
"314","AK","0.0","0.0",2020-04-25,"Alaska","64.0685","-152.2782"
"315","AK","0.0","0.0",2020-01-28,"Alaska","64.0685","-152.2782"
"316","AK","0.0","0.0",2020-03-14,"Alaska","64.0685","-152.2782"
"317","AK","165.0","0.0",2021-02-05,"Alaska","64.0685","-152.2782"
"318","AK","2.0","0.0",2020-05-26,"Alaska","64.0685","-152.2782"
"319","AK","12.0","0.0",2020-06-06,"Alaska","64.0685","-152.2782"
"320","AK","675.0","1.0",2020-11-21,"Alaska","64.0685","-152.2782"
"321","AK","637.0","0.0",2020-12-13,"Alaska","64.0685","-152.2782"
"322","AK","249.0","0.0",2020-10-10,"Alaska","64.0685","-152.2782"
"323","AK","0.0","0.0",2020-01-29,"Alaska","64.0685","-152.2782"
"324","AK","241.0","5.0",2021-01-23,"Alaska","64.0685","-152.2782"
"325","AK","0.0","0.0",2020-02-09,"Alaska","64.0685","-152.2782"
"326","AK","0.0","0.0",2020-02-17,"Alaska","64.0685","-152.2782"
"327","AK","6.0","0.0",2020-04-06,"Alaska","64.0685","-152.2782"
"328","AK","6.0","0.0",2020-04-22,"Alaska","64.0685","-152.2782"
"329","AK","601.0","0.0",2020-11-07,"Alaska","64.0685","-152.2782"
"330","AK","0.0","0.0",2020-02-13,"Alaska","64.0685","-152.2782"
"331","AK","42.0","0.0",2020-09-15,"Alaska","64.0685","-152.2782"
"332","AK","151.0","0.0",2020-10-13,"Alaska","64.0685","-152.2782"
"333","AK","406.0","2.0",2021-01-13,"Alaska","64.0685","-152.2782"
"334","AK","80.0","0.0",2020-08-27,"Alaska","64.0685","-152.2782"
"335","AK","801.0","9.0",2021-01-02,"Alaska","64.0685","-152.2782"
"336","AK","10.0","0.0",2020-04-01,"Alaska","64.0685","-152.2782"
"337","AK","0.0","0.0",2020-02-15,"Alaska","64.0685","-152.2782"
"338","AK","0.0","0.0",2020-02-21,"Alaska","64.0685","-152.2782"
"339","AK","0.0","0.0",2020-12-25,"Alaska","64.0685","-152.2782"
"340","AK","507.0","0.0",2020-11-30,"Alaska","64.0685","-152.2782"
"341","AK","11.0","0.0",2020-06-05,"Alaska","64.0685","-152.2782"
"342","AK","20.0","0.0",2020-06-10,"Alaska","64.0685","-152.2782"
"343","AK","360.0","3.0",2020-12-23,"Alaska","64.0685","-152.2782"
"344","AK","7.0","0.0",2020-06-14,"Alaska","64.0685","-152.2782"
"345","AK","281.0","0.0",2020-10-23,"Alaska","64.0685","-152.2782"
"346","AK","584.0","13.0",2020-11-24,"Alaska","64.0685","-152.2782"
"347","AK","212.0","1.0",2020-10-21,"Alaska","64.0685","-152.2782"
"348","AK","377.0","2.0",2020-12-17,"Alaska","64.0685","-152.2782"
"349","AK","122.0","6.0",2020-09-25,"Alaska","64.0685","-152.2782"
"350","AK","260.0","3.0",2021-01-04,"Alaska","64.0685","-152.2782"
"351","AK","85.0","0.0",2020-09-19,"Alaska","64.0685","-152.2782"
"352","AK","3.0","0.0",2020-03-19,"Alaska","64.0685","-152.2782"
"353","AK","0.0","0.0",2020-02-28,"Alaska","64.0685","-152.2782"
"354","AK","37.0","0.0",2020-08-31,"Alaska","64.0685","-152.2782"
"355","AK","150.0","0.0",2020-12-21,"Alaska","64.0685","-152.2782"
"356","AK","415.0","0.0",2021-02-08,"Alaska","64.0685","-152.2782"
